Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
8-Sep-14,002-0590980-5673869,BP-RS-BK,Refund,Amazon fees,Commission,$13.50 ,,DadGear Backpack Diaper Bag - Black Retro Stripe
8-Sep-14,002-0590980-5673869,BP-RS-BK,Refund,Amazon fees,Refund commission,($2.70),,DadGear Backpack Diaper Bag - Black Retro Stripe
8-Sep-14,002-0590980-5673869,BP-RS-BK,Refund,Product charges,,($89.99),1,DadGear Backpack Diaper Bag - Black Retro Stripe
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Amazon fees,Commission,($13.50),,DadGear Backpack Diaper Bag - Concentric Circles
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Amazon fees,FBA per order fulfillment fee,($1.00),,DadGear Backpack Diaper Bag - Concentric Circles
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Amazon fees,FBA per unit fulfillment fee,($1.02),,DadGear Backpack Diaper Bag - Concentric Circles
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Amazon fees,FBA weight based fee,($1.34),,DadGear Backpack Diaper Bag - Concentric Circles
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Amazon fees,Shipping chargeback,($7.99),,DadGear Backpack Diaper Bag - Concentric Circles
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Product charges,,$89.99 ,1,DadGear Backpack Diaper Bag - Concentric Circles
9-Sep-14,002-1248922-9397057,BP-GA-CC,Order Payment,Other,Shipping,$7.99 ,,DadGear Backpack Diaper Bag - Concentric Circles
5-Sep-14,002-1479003-0740245,BP-VT-WT,Order Payment,Amazon fees,Commission,($13.50),,DadGear Backpack Diaper Bag - Wicked White
5-Sep-14,002-1479003-0740245,BP-VT-WT,Order Payment,Amazon fees,FBA per order fulfillment fee,($1.00),,DadGear Backpack Diaper Bag - Wicked White
5-Sep-14,002-1479003-0740245,BP-VT-WT,Order Payment,Amazon fees,FBA per unit fulfillment fee,($1.02),,DadGear Backpack Diaper Bag - Wicked White
5-Sep-14,002-1479003-0740245,BP-VT-WT,Order Payment,Amazon fees,FBA weight based fee,($1.73),,DadGear Backpack Diaper Bag - Wicked White
5-Sep-14,002-1479003-0740245,BP-VT-WT,Order Payment,Product charges,,$89.99 ,1,DadGear Backpack Diaper Bag - Wicked White
9-Sep-14,002-2383667-8763418,BP-D-PSART,Order Payment,Amazon fees,Commission,($15.00),,DaisyGear Backpack Diaper Bag - Pistachio Art
9-Sep-14,002-2383667-8763418,BP-D-PSART,Order Payment,Amazon fees,FBA per unit fulfillment fee,($4.03),,DaisyGear Backpack Diaper Bag - Pistachio Art
9-Sep-14,002-2383667-8763418,BP-D-PSART,Order Payment,Amazon fees,FBA weight based fee,($2.12),,DaisyGear Backpack Diaper Bag - Pistachio Art
9-Sep-14,002-2383667-8763418,BP-D-PSART,Order Payment,Product charges,,$99.99 ,1,DaisyGear Backpack Diaper Bag - Pistachio Art
4-Sep-14,002-4390594-1060212,BP-BA-BK,Order Payment,Amazon fees,Commission,($13.50),,DadGear Backpack Diaper Bag - Solid Black
4-Sep-14,002-4390594-1060212,BP-BA-BK,Order Payment,Amazon fees,FBA per unit fulfillment fee,($4.03),,DadGear Backpack Diaper Bag - Solid Black
4-Sep-14,002-4390594-1060212,BP-BA-BK,Order Payment,Amazon fees,FBA weight based fee,($2.12),,DadGear Backpack Diaper Bag - Solid Black
4-Sep-14,002-4390594-1060212,BP-BA-BK,Order Payment,Product charges,,$89.99 ,1,DadGear Backpack Diaper Bag - Solid Black
6-Sep-14,002-4461927-2370653,BP-RS-OR,Order Payment,Amazon fees,Commission,($13.50),,DadGear Backpack Diaper Bag - Orange Retro Stripe
6-Sep-14,002-4461927-2370653,BP-RS-OR,Order Payment,Amazon fees,FBA per order fulfillment fee,($1.00),,DadGear Backpack Diaper Bag - Orange Retro Stripe
